Step,Tension_Force_1,Tension_Force_2,Tension_Force_3,Tension_Force_4,Tension_Force_5,Tension_Force_6,Tension_Force_7,Tension_Force_8,Tension_Force_9,Tension_Force_10,Tension_Force_11,Tension_Force_12,Tension_Force_13,Tension_Force_14,Tension_Force_15,Tension_Force_16,Tension_Force_17,Tension_Force_18,Tension_Force_19,Tension_Force_20,Tension_Force_21,Tension_Force_22,Tension_Force_23,Tension_Force_24
81,-0.2533225,1.0,1.0,1.0,0.24926865,-1.0,-0.33827043,0.9933914,1.0,-0.17497724,1.0,0.002389282,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
82,-0.6182881,0.7848715,1.0,1.0,0.82725865,-1.0,-0.39302444,0.806051,1.0,-0.60430783,0.3174761,0.097136706,1.0,-1.0,1.0,-1.0,-0.8901446,-1.0,-1.0,1.0,-1.0,0.5512151,-1.0,1.0
83,-0.76578474,1.0,1.0,1.0,1.0,-1.0,-0.044617847,0.07425925,1.0,-0.9603265,0.65813386,-0.30045825,1.0,-1.0,1.0,-0.52777755,-1.0,-1.0,-1.0,1.0,-0.79963976,0.3137862,-1.0,1.0
84,-1.0,1.0,0.9100703,1.0,1.0,-1.0,-0.5799726,0.65912557,1.0,0.44436103,-0.29960418,0.35317808,1.0,-1.0,1.0,-1.0,-0.9373417,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
85,-0.91938937,1.0,1.0,1.0,1.0,-1.0,-1.0,-0.78718233,1.0,-0.4209116,-0.22251211,-0.30582875,0.55897444,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.31537914,0.09092516,1.0,-1.0,1.0
86,-1.0,1.0,0.10112341,1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.32340676,0.30520433,-0.099232286,1.0,-1.0,1.0,-0.35649452,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
87,-1.0,1.0,-0.1997853,1.0,0.8167448,-1.0,-0.41208845,-1.0,-0.32559058,-1.0,-0.85652834,-0.08012456,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.79991823,-1.0,1.0
88,-0.97383785,1.0,-0.3089521,1.0,1.0,-0.82884425,-0.22408347,-0.9224622,-0.8868563,-1.0,-1.0,-0.3322625,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.5388645,-1.0,1.0
89,-0.784461,1.0,-0.38460267,1.0,0.6282413,-1.0,0.2632467,-1.0,-1.0,-1.0,-1.0,0.0065864325,1.0,-1.0,1.0,-0.9560971,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
90,-0.72745,1.0,-0.69217515,1.0,0.5118831,-1.0,0.35021165,-1.0,-1.0,-1.0,-1.0,-0.0994052,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
91,-0.42785046,0.8445908,-0.19404562,1.0,0.84609526,-1.0,0.74948764,-1.0,-1.0,-0.8832963,-0.73087317,-0.31210887,1.0,-1.0,1.0,-0.70603883,-1.0,-1.0,-1.0,1.0,-1.0,0.6481748,-1.0,1.0
92,-0.8351128,1.0,-0.21479435,1.0,0.18595481,-1.0,0.60147405,-0.9525521,-1.0,-0.8164126,-0.18901764,-0.11503449,1.0,-1.0,1.0,-0.46435723,-1.0,-1.0,-1.0,1.0,-1.0,0.7776319,-1.0,1.0
93,-1.0,1.0,-0.53121287,1.0,-0.65764886,-1.0,0.5940051,-0.64874613,-1.0,-0.8195725,-0.15269773,0.06709573,1.0,-1.0,1.0,-0.4729134,-1.0,-1.0,-1.0,1.0,-0.73950964,0.89329857,-1.0,1.0
94,-1.0,1.0,-1.0,1.0,-0.63954216,-1.0,0.41911986,-0.8477448,-1.0,-0.34832966,-0.2681672,0.0017920732,1.0,-1.0,1.0,-0.6573615,-0.8582531,-1.0,-1.0,1.0,-0.7417409,0.7877691,-1.0,1.0
95,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.7433312,-0.7824507,0.051707774,-1.0,-1.0,0.44150817,1.0,-1.0,1.0,-1.0,-0.870855,-1.0,-1.0,1.0,-0.56166476,1.0,-1.0,1.0
96,-1.0,1.0,0.11364119,1.0,0.02449727,-0.25597718,0.42543522,-1.0,-0.08413944,-0.85179156,-0.5465436,-0.5480753,1.0,-1.0,1.0,-1.0,-0.4592981,-1.0,-1.0,1.0,-0.91519946,1.0,-1.0,1.0
97,-1.0,1.0,0.3802024,1.0,-0.6195083,0.23187092,0.27040067,-0.6443143,-0.543213,-0.5458892,-1.0,-0.65508306,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.7901587,-1.0,1.0
98,-1.0,1.0,-0.18213268,1.0,-0.6571092,0.13292804,0.69378364,-0.55700004,0.35881796,-0.31980628,-1.0,-0.13607407,1.0,-1.0,1.0,-1.0,-0.63553715,-1.0,-1.0,1.0,-0.776027,1.0,-0.73411655,1.0
99,-1.0,1.0,0.7165964,0.25304508,-1.0,1.0,-0.369498,-0.13429484,-0.13973081,-1.0,-0.26359236,-0.49104458,1.0,-1.0,1.0,-1.0,-0.098030776,-1.0,-1.0,1.0,0.44796485,1.0,-0.5650329,1.0
100,-1.0,1.0,0.5764872,0.65324605,-1.0,1.0,-1.0,0.18941012,-0.1956508,-1.0,-0.89951617,-0.61564744,1.0,-1.0,1.0,-1.0,-0.9431505,-1.0,-1.0,1.0,-0.16716188,0.80589104,-0.4706011,1.0
101,-1.0,1.0,0.53998286,0.80106336,-1.0,1.0,-0.86973333,0.4424279,0.34904543,-1.0,-0.7074431,-0.16873747,1.0,-0.9566506,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.4933092,1.0,-0.31147897,1.0
102,-1.0,1.0,-1.0,1.0,-0.24886423,1.0,-1.0,-1.0,0.96185195,-1.0,1.0,-0.33334145,0.56654125,-0.28025147,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.047032475,1.0
103,-1.0,1.0,-1.0,1.0,-1.0,1.0,-0.9983871,-0.22968122,0.6002563,-1.0,1.0,0.5721343,0.6842099,-0.3288458,1.0,-1.0,-1.0,-1.0,-0.16549388,1.0,-1.0,1.0,-0.30847463,1.0
