Step,Tension_Force_1,Tension_Force_2,Tension_Force_3,Tension_Force_4,Tension_Force_5,Tension_Force_6,Tension_Force_7,Tension_Force_8,Tension_Force_9,Tension_Force_10,Tension_Force_11,Tension_Force_12,Tension_Force_13,Tension_Force_14,Tension_Force_15,Tension_Force_16,Tension_Force_17,Tension_Force_18,Tension_Force_19,Tension_Force_20,Tension_Force_21,Tension_Force_22,Tension_Force_23,Tension_Force_24
59,-15.690952397138467,-3.7950392399208175,0.0,-15.934350326292613,0.0,-11.370888942603992,-10.200585969774503,0.0,0.0,0.0,-1.1366413284408259,-15.702076350867655,-5.052915090388538,-15.793064922071467,0.0,-15.971983146900433,0.0,-15.813422361877436,-16.007913540864838,0.0,-16.20795077556985,0.0,-8.617592363173433,0.0
60,-16.288622132230977,-4.392064814532394,0.0,-16.279794260526003,0.0,-13.783748417443462,-7.720112265396326,0.0,0.0,0.0,0.0,-16.164390671427366,-0.49360072979917297,-16.12336009234723,0.0,-15.888019508748984,0.0,-16.078825615080593,-16.007018930745982,0.0,-15.820795194625415,0.0,-7.355414179737311,0.0
61,-15.921483468374438,-4.6526429437331,0.0,-14.922212947788053,0.0,-13.685910964812848,-8.049228007725139,0.0,0.0,0.0,0.0,-14.527327134678604,-0.09808750553441976,-15.686126636689306,0.0,-16.037623289475217,-3.062688880183036,-16.061935867304605,-16.04648554739095,0.0,-16.13480939896097,0.0,-5.510496786134433,0.0
62,-15.696498454711525,-5.129305528959035,0.0,-16.067516589416424,0.0,-12.803504878051559,-10.384458798921647,0.0,0.0,-2.401124853643708,0.0,-11.486943438336766,0.0,-15.995000230685765,0.0,-15.881778160236522,-6.923374679412706,-15.722733907151852,-16.189133002844564,0.0,-16.30202622126494,0.0,-8.998713731877203,0.0
63,-15.81621425972896,-4.514768959832469,0.0,-15.772307067531235,-0.8987260403621226,-12.81492768986602,-10.94032882747292,0.0,0.0,0.0,0.0,-9.719864753710436,0.0,-15.883568220130503,0.0,-15.960231506274303,-6.8562626828625906,-16.062698283301618,-15.78420990028683,0.0,-16.297089919160264,0.0,-8.682710352081703,0.0
64,-16.052812661645213,-2.0208532331476277,-0.5139570370087244,-15.811855769131506,0.0,-15.158928525796286,-11.37522982358251,-4.753119036777113,0.0,0.0,0.0,-14.592309982030852,0.0,-16.183729021070942,0.0,-16.293973715278298,-9.223136085392143,-16.04000976823126,-15.908825490167292,0.0,-16.239868917244173,0.0,-9.19055198077012,0.0
65,-16.231081295632375,-6.0040441707951455,-1.1019384556380505,-16.26608050948972,0.0,-14.609530310038354,-13.089802838168731,0.0,0.0,0.0,0.0,-13.090411708834576,0.0,-15.711404225386156,0.0,-16.076232374886004,-10.258684643330433,-16.012197868078783,-13.938659117854757,0.0,-16.154006672313596,0.0,-9.07331347071247,0.0
66,-15.956970722482316,-6.777024245370064,0.0,-15.964969510503487,-2.5629253247020483,-15.731042167845944,-9.155558501439284,-1.1390596166522189,0.0,0.0,0.0,-15.906945624698768,0.0,-16.25155617820917,0.0,-16.090327019844512,-3.1960352160294194,-15.726849094340176,-14.025116903302585,0.0,-15.822585355226307,0.0,-7.147902899470749,0.0
67,-16.246996757905546,-9.528004295825198,0.0,-15.484024380570386,0.0,-15.798511901764446,-10.524349777228172,0.0,0.0,-0.20231787793862335,-5.29826953692436,-14.282820326463266,-2.141280182054015,-15.980071054418934,0.0,-16.237347603098268,-1.9262759491319856,-16.273726436196906,-10.536372306613048,0.0,-15.944621837048338,0.0,-8.603098165785102,0.0
68,-16.269088234450923,0.0,0.0,-15.588593570454549,0.0,-15.891445781502142,-12.132614421542797,0.0,0.0,-4.164630343509561,-4.645806283563459,-15.943058849738014,0.0,-16.293291764255393,0.0,-16.17609657912427,0.0,-16.19335764424467,-14.898037835436172,0.0,-16.04464729493232,0.0,-6.639094277806195,0.0
69,-15.358111606161645,-10.836147856903251,0.0,-13.510049455579058,0.0,-13.592552317724085,-6.579195119289219,0.0,0.0,-16.03306722019874,-2.6695863856454785,-16.181961301151233,0.0,-15.890498517610324,0.0,-13.89815204756119,0.0,-15.933122298745166,-15.699481883394565,0.0,-16.219552531689192,-9.076591197593604,-9.558460261040373,0.0
70,-15.788059058887692,-5.292992129594661,0.0,-12.841478655299817,0.0,-12.950733041317758,-6.300665258655293,0.0,0.0,-6.073838345785456,-3.5076342514680485,-12.449827387148753,0.0,-15.864529481537339,0.0,-13.078011561814098,-0.873245610287818,-16.020507491684135,-16.0490291151893,0.0,-15.753262510654684,-2.8280294688852026,-14.631104438188299,0.0
71,-15.853815475689016,-8.152314961878972,0.0,-9.08283396827565,0.0,-16.04292548040437,-12.736599894428,-0.3125967368955597,0.0,-9.469780463911912,-2.8871261871586444,-11.30451417133848,0.0,-15.867471496785853,0.0,-9.611320208462525,-1.6770772706954253,-15.719430474954708,-16.189603608898636,0.0,-15.871140587247258,-1.4858847537249873,-15.69785639460562,0.0
72,-16.149047425712226,-5.441348585247052,0.0,0.0,0.0,-7.2475865835053845,-5.962325935444344,-6.082691689460261,0.0,-14.566193277105176,-6.089678513797192,-12.113802151016953,0.0,-16.109209453789372,0.0,-11.841994680181868,-4.307780952692693,-16.157730426490954,-16.05633060719592,0.0,-15.76212951588219,-2.0524093088024213,-16.006151728134757,0.0
73,-15.885449737062325,0.0,0.0,0.0,-11.228597065161285,-7.856756200211564,-9.880730140230959,-4.471428118791269,-6.409756124715371,-10.642458343777337,-0.11518511609611506,-3.486976373325296,0.0,-16.269902649095652,0.0,-15.78781752521955,-6.536051495016634,-16.015467291195904,-16.06645401953837,0.0,-16.049566289045295,-1.0539311600119978,-12.567485375214517,0.0
74,-15.981917414724183,0.0,0.0,0.0,-16.251152113604448,-12.401055837868952,-13.505390612248963,-8.51984226249623,-5.001273490013111,-11.403408235471233,0.0,-8.87339476437444,0.0,-16.316806946724068,0.0,-15.943743272304603,-12.25401745667743,-15.838291952107651,-15.965368825334366,0.0,-15.81227370594979,0.0,-14.438062860790254,0.0
75,-15.692218231405352,0.0,0.0,0.0,-13.335812332827974,-10.60092912447834,-14.580071583790989,-3.736345343008781,0.0,-8.931520160346238,0.0,-7.591300491330354,0.0,-15.74025272204031,0.0,-16.15815589046776,-9.330713039163614,-16.234533518177226,-15.823167365247496,0.0,-15.967273032080772,0.0,-13.807842498709077,0.0
